,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_epochs,params_lr,params_optimizer,params_weight_decay,train_loss,train_accuracy,val_accuracy,state
0,0,0.825163399,04:00.0,15:29.3,0 days 00:11:29.370431,32,0.310979978,2,0.003265774,Adam,0.005486396,39.11,0.823,0.8252,COMPLETE
1,1,0.83496732,15:29.3,30:59.5,0 days 00:15:30.135293,64,0.452849852,2,0.009361289,SGD,0.001812123,18.512,0.8282,0.835,COMPLETE
2,2,0.825163399,30:59.5,49:23.1,0 days 00:18:23.651625,32,0.371842426,3,0.005344111,Adam,0.002219231,41.2505,0.8216,0.8252,COMPLETE
3,3,0.869281046,49:23.1,07:45.1,0 days 00:18:21.973458,32,0.304133742,3,0.001078955,Adam,0.003122506,28.5343,0.8863,0.8301,COMPLETE
4,4,0.848039216,07:45.1,26:00.5,0 days 00:18:15.387192,32,0.347145052,3,0.004587481,Adam,0.001018081,36.8045,0.8397,0.8399,COMPLETE
5,5,0.825163399,26:00.5,38:11.1,0 days 00:12:10.568282,32,0.49562742,2,0.004260604,Adam,0.004231276,47.8306,0.8055,0.8252,COMPLETE
6,6,0.830065359,38:11.1,56:29.8,0 days 00:18:18.696895,32,0.444204089,3,0.001999415,SGD,0.005731774,37.6262,0.8265,0.8301,COMPLETE
7,7,0.879084967,56:29.8,21:24.0,0 days 00:24:54.204052,64,0.375264966,3,0.00135662,Adam,0.003032271,11.9048,0.902,0.8578,COMPLETE
8,8,0.87254902,21:24.0,46:56.6,0 days 00:25:32.638561,64,0.399776948,3,0.001094072,Adam,0.001054907,9.9907,0.916,0.8644,COMPLETE
9,9,0.825163399,46:56.6,00:41.2,0 days 00:13:44.562567,32,0.447843283,2,0.002747973,Adam,0.005756813,41.6486,0.8212,0.8137,COMPLETE
10,10,0.825163399,00:41.2,26:26.4,0 days 00:25:45.173797,64,0.359460704,3,0.001631317,SGD,0.006993977,19.9258,0.8254,0.8235,COMPLETE
11,11,0.883986928,26:26.4,51:36.4,0 days 00:25:10.060400,64,0.398967461,3,0.001005034,Adam,0.001057159,8.0694,0.9367,0.884,COMPLETE
12,12,0.882352941,51:36.4,16:23.2,0 days 00:24:46.794450,64,0.401319482,3,0.001025207,Adam,0.001724989,9.1647,0.9199,0.8824,COMPLETE
13,13,0.875816993,16:23.2,42:17.8,0 days 00:25:54.632498,64,0.412615427,3,0.001018847,Adam,0.00146872,9.0388,0.9262,0.8758,COMPLETE
14,14,0.87254902,42:17.8,06:43.5,0 days 00:24:25.698270,64,0.401014517,3,0.001560958,Adam,0.001455867,11.9641,0.8926,0.8725,COMPLETE
15,15,0.825163399,06:43.5,31:39.3,0 days 00:24:55.735209,64,0.413200683,3,0.002017978,SGD,0.002098177,20.0538,0.8261,0.8235,COMPLETE
16,16,0.879084967,31:39.3,56:33.7,0 days 00:24:54.415709,64,0.3347834,3,0.001327129,Adam,0.00131456,10.6618,0.9045,0.8791,COMPLETE
17,17,0.854575163,56:33.7,21:43.5,0 days 00:25:09.775584,64,0.383463111,3,0.001016813,Adam,0.009101896,11.8095,0.9045,0.8546,COMPLETE
18,18,0.825163399,21:43.5,38:46.1,0 days 00:17:02.596757,64,0.427044276,2,0.001779692,SGD,0.001250417,21.4881,0.8233,0.8252,COMPLETE
19,19,0.870915033,38:46.1,04:52.9,0 days 00:26:06.794433,64,0.381358339,3,0.001347646,Adam,0.001667031,11.3204,0.9066,0.8709,COMPLETE
20,20,0.846405229,04:52.9,31:10.6,0 days 00:26:17.710431,64,0.340088222,3,0.002155846,Adam,0.002311268,13.7335,0.8796,0.8252,COMPLETE
21,21,0.864379085,31:10.6,57:05.5,0 days 00:25:54.960548,64,0.372055548,3,0.001335615,Adam,0.00276812,11.8038,0.8943,0.799,COMPLETE
22,22,0.862745098,57:05.5,23:19.2,0 days 00:26:13.649486,64,0.392188286,3,0.001312601,Adam,0.003564338,12.167,0.8936,0.8448,COMPLETE
23,23,0.880718954,23:19.2,49:27.2,0 days 00:26:08.033678,64,0.364512074,3,0.001007261,Adam,0.001813661,7.8135,0.9367,0.866,COMPLETE
24,24,0.870915033,49:27.2,15:33.5,0 days 00:26:06.214199,64,0.357668272,3,0.001013287,Adam,0.001773526,10.1777,0.9143,0.8415,COMPLETE
